ride_id,user_id,date,time,hour,day_of_week,pickup_location,drop_location,fare_amount,ride_status,payment_method
QR10001,U441,2023-10-25,17:18:16,17,Wednesday,"Central Station",Downtown/CBD,18.84,Completed,"Debit Card"
QR10002,U473,2023-12-21,08:13:06,8,Thursday,"Central Station",Airport,18.16,Completed,UPI
QR10003,U503,2023-12-14,02:38:48,2,Thursday,"Shopping Mall","University Campus",19.1,Completed,Wallet
QR10004,U822,2023-11-25,18:03:07,18,Saturday,Downtown/CBD,Airport,16.28,Completed,UPI
QR10005,U613,2023-12-25,16:34:20,16,Monday,"Central Station","Tech Park",10.85,Completed,"Credit Card"
QR10006,U930,2023-12-06,21:21:54,21,Wednesday,"University Campus",Airport,13.03,Completed,"Credit Card"
QR10007,U731,2023-11-27,18:50:38,18,Monday,Downtown/CBD,"Shopping Mall",0,Cancelled,UPI
QR10008,U508,2023-11-02,16:26:21,16,Thursday,"Tech Park","University Campus",22.93,Completed,"Debit Card"
QR10009,U294,2023-10-05,12:45:44,12,Thursday,"University Campus",Downtown/CBD,25.33,Completed,UPI
QR10010,U441,2023-11-28,14:11:28,14,Tuesday,"Shopping Mall","Central Station",14.44,Completed,"Credit Card"
QR10011,U719,2023-10-28,10:52:30,10,Saturday,"Shopping Mall","Central Station",0,Cancelled,Cash
QR10012,U583,2023-10-23,22:39:35,22,Monday,Airport,"Tech Park",0,Cancelled,UPI
QR10013,U320,2023-10-15,19:11:18,19,Sunday,Airport,"Central Station",19.19,Completed,UPI
QR10014,U172,2023-10-31,13:45:01,13,Tuesday,"Central Station","Suburban Residential",0,Cancelled,UPI
QR10015,U707,2023-11-30,18:05:13,18,Thursday,"Shopping Mall","University Campus",21.5,Completed,"Debit Card"
QR10016,U483,2023-11-12,21:36:32,21,Sunday,"Hospital District",Airport,31.07,Completed,Wallet
QR10017,U453,2023-10-28,12:26:08,12,Saturday,"Hospital District","Suburban Residential",14.27,Completed,"Credit Card"
QR10018,U333,2023-12-16,19:10:57,19,Saturday,"Hospital District",Downtown/CBD,31.01,Completed,UPI
QR10019,U728,2023-10-28,18:45:08,18,Saturday,Downtown/CBD,"Hospital District",23.69,Completed,"Credit Card"
QR10020,U113,2023-10-02,00:55:10,0,Monday,"University Campus",Downtown/CBD,0,Cancelled,"Credit Card"
QR10021,U522,2023-12-11,18:42:58,18,Monday,"Tech Park",Airport,40.12,Completed,"Credit Card"
QR10022,U131,2023-12-13,18:45:08,18,Wednesday,"University Campus","Shopping Mall",18.84,Completed,UPI
QR10023,U880,2023-11-29,13:16:50,13,Wednesday,Airport,"Central Station",17.14,Completed,UPI
QR10024,U978,2023-12-27,09:52:20,9,Wednesday,"Suburban Residential","University Campus",0,Cancelled,UPI
QR10025,U414,2023-10-06,19:44:01,19,Friday,Downtown/CBD,"Central Station",0,Cancelled,"Credit Card"
QR10026,U489,2023-10-30,19:45:51,19,Monday,Airport,"Tech Park",27.18,Completed,UPI
QR10027,U508,2023-11-20,16:42:57,16,Monday,"Suburban Residential","Shopping Mall",23.2,Completed,"Debit Card"
QR10028,U223,2023-11-21,18:14:55,18,Tuesday,"Tech Park","Central Station",34.3,Completed,UPI
